Latitude,Longitude,CD1  (/km^2),CD2  (/km^2),CD3  (/km^2),CD4  (/km^2),WD1 (g/km^2),WD2 (g/km^2),WD3 (g/km^2),WD4 (g/km^2),Sea State,Source,Year,Month,Log_CD1  (/km^2),Log_CD2  (/km^2),Log_CD3  (/km^2),Log_CD4  (/km^2),Log_WD1 (g/km^2),Log_WD2 (g/km^2),Log_WD3 (g/km^2),Log_WD4 (g/km^2),Sea State Normalized,Source_Encoded,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
-26.131,-37.5873,0.0,0.0,540.28,0.3,0.0,31.74,57.16,9.75,4.0,M. Eriksen,2010,12,0.0,0.0,6.293936705032398,0.262364264467491,0.0,3.4885975719429885,4.063197833225264,2.3749057545736716,0.5,5,False,False,False,True
-25.9968,-36.4999,0.0,0.0,485.72,0.3,0.31,51.56,40.53,9.75,4.0,M. Eriksen,2010,12,0.0,0.0,6.187689009070928,0.262364264467491,0.27002713721306015,3.961955374176355,3.726416057642662,2.3749057545736716,0.5,5,False,False,False,True
-33.043,-2.4258,0.0,0.0,2.5,0.3,7.53,292.72,19.63,9.75,2.0,M. Eriksen,2010,1,0.0,0.0,1.252762968495368,0.262364264467491,2.143589361503588,5.68262693258341,3.0267463270831603,2.3749057545736716,0.25,5,False,False,False,True
-33.2157,-1.2692,0.0,0.0,2.5,0.3,0.65,341.44,17.33,9.75,3.0,M. Eriksen,2010,2,0.0,0.0,1.252762968495368,0.262364264467491,0.5007752879124893,5.836096459874285,2.9085390618516134,2.3749057545736716,0.375,5,False,False,False,True
-33.4173,0.0825,0.0,0.0,2.5,0.3,6.7,566.12,288.37,9.75,2.0,M. Eriksen,2010,2,0.0,0.0,1.252762968495368,0.262364264467491,2.0412203288596382,6.340570921546762,5.6677061460735105,2.3749057545736716,0.25,5,False,False,False,True
-33.6215,1.0787,0.0,0.0,2.5,0.3,0.22,8.07,25.89,9.75,1.0,M. Eriksen,2010,2,0.0,0.0,1.252762968495368,0.262364264467491,0.1988508587451652,2.2049722641270453,3.2917544702807735,2.3749057545736716,0.125,5,False,False,False,True
-33.82,2.264,0.0,0.0,2.5,0.3,5.01,257.88,63.28,9.75,1.0,M. Eriksen,2010,3,0.0,0.0,1.252762968495368,0.262364264467491,1.7934247485471162,5.5563646338701265,4.163248540869312,2.3749057545736716,0.125,5,False,True,False,False
-34.0253,3.4618,0.0,0.0,0.0,0.3,1.64,97.02,0.0,9.75,3.0,M. Eriksen,2010,3,0.0,0.0,0.0,0.262364264467491,0.9707789171582248,4.585171539481402,0.0,2.3749057545736716,0.375,5,False,True,False,False
-34.1586,4.8587,0.0,0.0,2.5,0.3,0.0,157.06,91.83,9.75,4.0,M. Eriksen,2010,4,0.0,0.0,1.252762968495368,0.262364264467491,0.0,5.06297470777683,4.530769863411841,2.3749057545736716,0.5,5,False,True,False,False
-34.3584,6.2549,0.0,0.0,2.5,0.3,5.32,259.07,35.45,9.75,4.0,M. Eriksen,2010,4,0.0,0.0,1.252762968495368,0.262364264467491,1.843719208158766,5.560950825548659,3.5959414584546674,2.3749057545736716,0.5,5,False,True,False,False
-34.3065,7.1063,0.0,0.0,0.0,0.3,0.0,101.49,0.0,9.75,3.0,M. Eriksen,2010,5,0.0,0.0,0.0,0.262364264467491,0.0,4.6297652328434715,0.0,2.3749057545736716,0.375,5,False,True,False,False
-34.0162,9.7782,0.0,0.0,0.0,0.3,0.87,34.99,0.0,9.75,3.0,M. Eriksen,2010,5,0.0,0.0,0.0,0.262364264467491,0.6259384308664953,3.5832411220909393,0.0,2.3749057545736716,0.375,5,False,True,False,False
